step,price,momentum,volatility
210,0.928461,0.001246,0.006049
211,0.935601,0.007690,0.007296
212,0.941476,0.006280,0.004176
213,0.946269,0.005091,0.003012
214,0.955017,0.009245,0.007772
215,0.960062,0.005282,0.005020
216,0.968270,0.008549,0.005145
217,0.973466,0.005366,0.007211
218,0.981040,0.007780,0.004273
219,0.992162,0.011337,0.007717
220,1.004820,0.012758,0.009411
221,1.017925,0.013042,0.009172
222,1.006804,-0.010925,0.005572
223,0.997965,-0.008780,0.004908
224,0.987629,-0.010357,0.006051
225,0.976524,-0.011244,0.008281
226,0.968901,-0.007806,0.003159
227,0.964517,-0.004525,0.007473
228,0.960777,-0.003877,0.007409
229,0.956529,-0.004421,0.005317
230,0.954659,-0.001956,0.008342
231,0.948181,-0.006786,0.005036
232,0.941457,-0.007091,0.006278
233,0.937424,-0.004284,0.002227
234,0.932613,-0.005132,0.004391
235,0.927889,-0.005065,0.005000
236,0.925189,-0.002910,0.002059
237,0.924578,-0.000661,0.002377
238,0.923505,-0.001160,0.000528
239,0.921628,-0.002033,0.002733
240,0.924128,0.002713,0.004612
241,0.928205,0.004412,0.006778
242,0.928884,0.000731,0.001091
243,0.927271,-0.001736,0.006451
244,0.925856,-0.001526,0.007261
245,0.931190,0.005760,0.006182
246,0.930878,-0.000335,0.007569
247,0.936052,0.005558,0.004393
248,0.940741,0.005009,0.002738
249,0.944007,0.003472,0.004597
250,0.951453,0.007888,0.006187
251,0.953607,0.002264,0.008984
252,0.957187,0.003754,0.007619
253,0.963754,0.006861,0.003503
254,0.967585,0.003976,0.009575
255,0.978200,0.010971,0.007817
256,0.984841,0.006788,0.007127
257,0.991312,0.006571,0.008662
258,0.997633,0.006376,0.010162
259,0.988687,-0.008967,0.005757
260,0.978926,-0.009873,0.004506
261,0.971243,-0.007849,0.005323
262,0.964354,-0.007093,0.005442
263,0.959224,-0.005319,0.007292
264,0.955815,-0.003555,0.009124
265,0.950853,-0.005191,0.005176
266,0.942756,-0.008516,0.006533
267,0.937331,-0.005754,0.002560
268,0.930235,-0.007571,0.006370
269,0.922459,-0.008358,0.008431
270,0.918667,-0.004111,0.001934
271,0.917179,-0.001620,0.004246
272,0.912276,-0.005345,0.005475
273,0.908588,-0.004043,0.003985
274,0.905952,-0.002901,0.002765
275,0.906375,0.000467,0.003128
276,0.906020,-0.000392,0.000500
277,0.906850,0.000916,0.001556
278,0.909212,0.002605,0.003707
279,0.909448,0.000259,0.001893
280,0.913088,0.004002,0.004637
281,0.918084,0.005472,0.006414
282,0.917602,-0.000525,0.006725
283,0.923837,0.006794,0.007217
284,0.929073,0.005668,0.004580
285,0.930452,0.001484,0.006811
286,0.934758,0.004628,0.002632
287,0.940890,0.006560,0.003930
288,0.949726,0.009391,0.008020
289,0.955121,0.005681,0.004342
290,0.962545,0.007773,0.003825
291,0.972952,0.010812,0.008270
292,0.983370,0.010707,0.007369
293,0.995606,0.012443,0.009597
294,1.004720,0.009154,0.004271
295,1.015984,0.011211,0.006058
296,1.003425,-0.012361,0.008013
297,0.995730,-0.007669,0.006796
298,0.989415,-0.006342,0.007885
299,0.982291,-0.007200,0.005259
300,0.976361,-0.006036,0.006071
